Time,Speed_1,Speed_2,Speed_3,Speed_4,Speed_5
16.9,19.06333333,18.93888889,19.05333333,22.79333333,21.46
17,19.06818182,18.92545455,19.01727273,22.70818182,21.44545455
17.1,19.07333333,18.90666667,18.97555556,22.62976111,21.42888889
17.2,19.07181818,18.89545455,18.94363636,22.54478946,21.41454545
17.3,19.07555556,18.88333333,18.90888889,22.45444444,21.395
17.4,19.07818182,18.86272727,18.87363636,22.35818182,21.38
17.5,19.08111111,18.84777778,18.84111111,22.25222222,21.36333333
17.6,19.08545455,18.83363636,18.81,22.13363636,21.34545455
17.7,19.08555556,18.81666667,18.77777778,22.03111111,21.32777778
17.8,19.08909091,18.80181818,18.74909091,21.91,21.31
17.9,19.08888889,18.78444444,18.71888889,21.78111111,21.29
18,19.09,18.77363636,18.68545455,21.63727273,21.27090909
18.1,19.09,18.76333333,18.65666667,21.49222222,21.24888889
18.2,19.09363636,18.75090909,18.63636364,21.34545455,21.22454545
18.3,19.09444444,18.74,18.61111111,21.19777778,21.20111111
18.4,19.1,18.73,18.58272727,21.04181818,21.17818182
18.5,19.10222222,18.72777778,18.56333333,20.87777778,21.15555556
18.6,19.10818182,18.72,18.53909091,20.70454546,21.13
18.7,19.11111111,18.72,18.51111111,20.53555556,21.10555556
18.8,19.11181818,18.71090909,18.48909091,20.36909091,21.08090909
18.9,19.11888889,18.70333333,18.46777778,20.20555556,21.05444444
19,19.11818182,18.69636364,18.44181818,20.05272727,21.02818182
19.1,19.12111111,18.68777778,18.42,19.90111111,21.00222222
19.2,19.12272727,18.67818182,18.40181818,19.76272727,20.97454545
19.3,19.12444444,18.66888889,18.38888889,19.62777778,20.95
19.4,19.12454545,18.66090909,18.37363636,19.48818182,20.92454545
19.5,19.12333333,18.66,18.35666667,19.36111111,20.89666667
19.6,19.12363636,18.65454545,18.34090909,19.24818182,20.87
19.7,19.12333333,18.65,18.32333333,19.14333333,20.84111111
19.8,19.12454545,18.65,18.31727273,19.04818182,20.81
19.9,19.12777778,18.64888889,18.30222222,18.96333333,20.78
20,19.12727273,18.65,18.29363636,18.90363636,20.75272727
20.1,19.12555556,18.65,18.28111111,18.85777778,20.72333333
20.2,19.12909091,18.64909091,18.26909091,18.84272727,20.69090909
20.3,19.12777778,18.64777778,18.26222222,18.85,20.66111111
20.4,19.13,18.65,18.24909091,18.85272727,20.63181818
20.5,19.13,18.65222222,18.24111111,18.86555556,20.59888889
20.6,19.13090909,18.66090909,18.23,18.88545455,20.56545455
20.7,19.13111111,18.66111111,18.22333333,18.89222222,20.53333333
20.8,19.13454545,18.66,18.22090909,18.89363636,20.50272727
20.9,19.13333333,18.66444444,18.21333333,18.91111111,20.47111111
21,19.13363636,18.67,18.20636364,18.91181818,20.43727273
21.1,19.13333333,18.67222222,18.2,18.91777778,20.40555556
