Time,Speed1,Speed2,Speed3,Speed4,Speed5
2.799999999999997,19.38636364,19.88818182,20.22363636,20.78363636,16.23176272
2.8999999999999986,19.38333333,19.89777778,20.23444444,20.80333333,16.24333333
3.0,19.38,19.90727273,20.24363636,20.82090909,16.25727273
3.1000000000000014,19.37777778,19.91444444,20.25,20.83777778,16.28111111
3.200000000000003,19.37818182,19.92090909,20.25363636,20.85636364,16.31090909
3.299999999999997,19.37666667,19.93,20.26444444,20.86888889,16.34111111
3.3999999999999986,19.37545455,19.93545455,20.27,20.88727273,16.37090909
3.5,19.37333333,19.94222222,20.27,20.89111111,16.40555556
3.6000000000000014,19.37636364,19.94818182,20.27,20.89727273,16.43454545
3.700000000000003,19.37555556,19.95333333,20.27,20.90888889,16.46777778
3.799999999999997,19.37818182,19.96,20.27727273,20.91454545,16.50090909
3.8999999999999986,19.37666667,19.96333333,20.28,20.91222222,16.53666667
4.0,19.38090909,19.96727273,20.28181818,20.91818182,16.56818182
4.100000000000001,19.38333333,19.97,20.29,20.92,16.60555556
4.200000000000003,19.38818182,19.96909091,20.29,20.92818182,16.64272727
4.299999999999997,19.39333333,19.96555556,20.29222222,20.92888889,16.68555556
4.399999999999999,19.39818182,19.96181818,20.3,20.93,16.72909091
4.5,19.40444444,19.95777778,20.3,20.93333333,16.78111111
4.600000000000001,19.40909091,19.95454545,20.3,20.92636364,16.83
4.700000000000003,19.41555556,19.95,20.30888889,20.92111111,16.87666667
4.799999999999997,19.42090909,19.95,20.31,20.93909091,16.92636364
4.899999999999999,19.43,19.95111111,20.30444444,20.93888889,16.97111111
5.0,19.43454545,19.95545455,20.31,20.93727273,17.01363636
5.100000000000001,19.44444444,19.96,20.31,20.94111111,17.05333333
5.200000000000003,19.45454545,19.96,20.31,20.94909091,17.08727273
5.299999999999997,19.46666667,19.96,20.31,20.96,17.13333333
5.399999999999999,19.47181818,19.96545455,20.31,20.95636364,17.2
5.5,19.48111111,19.97,20.31,20.97111111,17.27555555
5.600000000000001,19.48545455,19.97181818,20.31,20.98272727,17.36363636
5.700000000000003,19.49111111,19.97888889,20.30444444,20.98333333,17.44555555
5.799999999999997,19.49818182,19.98363636,20.3,20.99909091,17.52090909
5.899999999999999,19.50555556,19.99,20.3,21.00444444,17.58527262
6.0,19.51272727,19.99454545,20.29636364,21.01454545,17.63818182
6.100000000000001,19.51888889,20.00222222,20.29333333,21.03111111,17.66777778
6.200000000000003,19.52545455,20.01363636,20.29,21.04,17.67454545
6.299999999999997,19.53444444,20.02,20.29,21.04444444,17.67222222
6.399999999999999,19.54454545,20.02909091,20.29,21.05636364,17.65909091
6.5,19.55555556,20.03666667,20.29,21.07666667,17.65222222
6.600000000000001,19.56272727,20.04454545,20.29,21.07181818,17.64636364
6.700000000000003,19.56666667,20.04888889,20.29,21.07888889,17.64888889
6.799999999999997,19.56272727,20.04818182,20.29,21.09,17.66454545
6.899999999999999,19.56111111,20.03888889,20.29,21.09333333,17.68
7.0,19.55909091,20.02272727,20.29,21.10454545,17.69636364
7.100000000000001,19.55,20.00777778,20.29333333,21.10111111,17.72
7.200000000000003,19.53909091,19.98818182,20.29181818,21.09727273,17.74636364
7.299999999999997,19.52555556,19.96888889,20.29222222,21.09555556,17.77111111
7.399999999999999,19.50909091,19.94909091,20.29909091,21.09363636,17.79909091
7.5,19.49222222,19.93222222,20.3,21.09111111,17.82888889
7.600000000000001,19.47909091,19.91363636,20.3,21.08454545,17.86090909
7.700000000000003,19.46,19.89666667,20.3,21.08777778,17.90333333
